planet_name,planetary_mass,planetary_radius,orbital_period,star_mass,star_radius,star_teff,semi_major_axis,planet_updated,planet_discovered
TOI-2134 b,9.134370816599763,2.6901599999999997,9.2292005,0.69,0.77,4406.0,0.078,2023-10-23,2019
TOI-2134 c,41.90428380187431,7.2701573999999995,95.5,0.69,0.77,4406.0,0.371,2023-10-23,2023
TOI-2136 b,4.7054886211512885,2.0904785,7.85191,0.34,0.34,3342.0,0.054,2022-04-21,2022
TOI-2141 b,20.093708165997395,3.14703884,18.261608,0.896,0.95,5635.0,0.1322,2025-10-03,2023
TOI-2145 b,1755.020080321291,12.307482,10.261131,1.72,2.738,6189.0,0.11,2024-11-05,2022
TOI-2152 Ab,899.7657295850098,14.358728999999999,3.3773512,1.516,1.612,6630.0,0.05064,2025-02-11,2022
TOI-2154 b,292.50334672021523,16.286677,3.6240801,1.233,1.396,6280.0,0.0513,2022-05-13,2022
TOI-2158 b,260.7095046854092,10.760639999999999,8.60077,1.12,1.41,5673.0,0.074,2022-05-02,2022
TOI-2169 Ab,329.70214190093816,12.509244,8.2148282,1.42,1.82,6270.0,0.0896,2025-07-03,2025
TOI-216 b,17.740963855421747,7.6904949,17.0991,0.77,0.747,5045.0,0.1293,2022-12-16,2019
TOI-216 c,167.8714859437757,10.099309,34.5507,0.77,0.747,5045.0,0.2068,2022-12-16,2019
TOI-2180 b,875.9203480589052,11.32109,260.158,1.111,1.636,5695.0,0.828,2022-04-13,2022
TOI-2193 Ab,298.86211512717637,19.83993,2.1225735,1.082,1.248,5966.0,0.03319,2025-09-09,2022
TOI-2196 b,26.07095046854092,3.5095378999999998,1.1947268,1.032,1.043,5634.0,0.02234,2022-08-12,2022
TOI-2202 b,310.94377510040266,11.209,11.9101,0.823,0.794,5144.0,0.09564,2021-08-12,2021
TOI-2207 b,203.4805890227584,11.152955,8.001968,1.296,1.564,6101.0,0.0854,2022-05-24,2022
TOI-220 b,13.607764390896968,3.0197045999999994,10.695264,0.825,0.858,5298.0,0.0892,2021-05-06,2021
TOI-2257 b,5.691097724230274,2.1940496599999997,35.189346,0.33,0.311,3430.0,0.145,2021-11-03,2021
TOI-2260 b,3.49732262382866,1.6197004999999998,0.3524728,0.99,0.94,5534.0,0.0097,2022-01-30,2022
TOI-2285 b,19.521419009370884,1.7396368,13.64,0.454,0.464,3491.0,0.1363,2025-04-08,2021
TOI-2290 b,1.5896921017403,1.1702196,0.3862224,0.56,0.57,3813.0,0.0086,2024-06-16,2022
TOI-2295 b,278.1961178045525,16.47723,30.033302,1.17,1.451,5733.0,0.199,2024-12-12,2024
TOI-2322 b,2.3114123159303963,0.9940141199999999,11.30717,0.703,0.662,4664.0,0.0924,2025-08-26,2025
TOI-2322 c,18.09069611780461,1.87403271,20.225528,0.703,0.662,4664.0,0.1362,2025-08-26,2025
TOI-2338 b,1901.2717536813989,11.209,22.65398,0.99,1.05,5581.0,0.158,2023-04-06,2023
TOI-2345 b,3.4909638554216986,1.502006,1.0528573,0.727,0.729,4687.0,0.01705,2025-10-15,2025
TOI-2345 c,7.2712516733601325,2.4510720299999997,21.064302,0.727,0.729,4687.0,0.1257,2025-10-15,2025
TOI-2346 b,394.2436412315944,16.118541999999998,3.3312029,1.271,1.38,6480.0,0.0473,2025-07-03,2025
TOI-2364 b,71.5361445783135,8.608512,4.0197478,0.954,0.886,5306.0,0.04871,2025-05-07,2022
TOI-2373 b,2956.827309236958,10.42437,13.33668,1.04,1.1,5651.0,0.112,2023-12-20,2023
TOI-2374 Bb,379.61847389558363,7.487612,4.3136193,0.75,0.69,4802.0,0.04818,2025-09-16,2024
TOI-2379 b,1831.3253012048256,11.724614,5.4693827,0.645,0.62,3707.0,0.05263,2024-08-30,2024
TOI-237 b,2.8614457831325395,1.4403565,5.436098,0.179,0.211,3212.0,0.0341,2020-11-02,2020
TOI-2382 b,235.27443105756439,12.251437,4.6612061,1.26,1.417,6033.0,0.059,2025-07-03,2025
TOI-2384 Ab,625.0669344042859,11.489225,2.13570304,0.635,0.611,3943.0,0.0279,2025-08-04,2024
TOI-238 b,3.370147255689436,1.55905981,1.273099,0.788,0.75,5080.0,0.0212,2025-02-13,2023
TOI-238 c,6.708500669344066,2.1801505,8.465651,0.788,0.75,5080.0,0.0749,2024-02-08,2024
TOI-2406 b,9.093038821954515,2.9401206999999996,3.0766896,0.162,0.202,3100.0,0.0228,2021-08-02,2021
TOI-2407 b,16.85073627844718,4.2605409,2.702969,0.548,0.567,3530.0,0.033,2025-06-09,2025
TOI-2411 b,3.910642570281138,1.6802291,0.7826942,0.65,0.68,4099.0,0.0144,2022-01-30,2022
TOI-2416 b,953.81526104418,9.86392,8.275479,1.118,1.236,5808.0,0.0831,2025-08-04,2023
TOI-2420 b,295.68273092369583,15.02006,5.842641,1.158,2.369,5707.0,0.0684,2024-09-29,2024
TOI-2427 b,5.691097724230274,1.6398767,1.305962,0.64,0.65,4072.0,0.0202,2025-06-04,2022
TOI-2431 b,6.19979919678717,1.53596927,0.22419577,0.661,0.651,4109.0,0.0063,2025-07-14,2022
TOI-2445 b,1.90763052208836,1.37500803,0.3711281,0.25,0.27,3330.0,0.0064,2024-06-04,2022
TOI-2449 b,222.55689424364198,11.209,106.14468,1.079,1.065,6021.0,0.45,2025-09-22,2025
TOI-2458 b,13.315261044176752,2.8302725,3.73659,1.05,1.32,6005.0,0.0482,2024-09-27,2024
TOI-2485 b,766.2315930388246,12.10572,11.23479,1.16,1.72,6016.4,0.109,2024-09-29,2024
TOI-2497 b,1656.4591700133926,11.209,10.655661,1.86,2.358,7360.0,0.1167,2022-05-13,2022
TOI-2498 b,34.633032128514174,6.0595854,3.738252,1.12,1.26,5905.0,0.0491,2023-05-13,2023
TOI-251 b,317.93842034806,2.7394796,4.93777,1.036,0.881,5875.0,0.05741,2020-11-30,2020
TOI-2524 b,203.4805890227584,11.209,7.18585,1.01,1.12,5831.0,0.073,2023-12-20,2023
TOI-2525 b,26.706827309237042,8.675766,23.2856,0.849,0.785,5096.0,0.1511,2023-02-14,2022
TOI-2525 c,208.8855421686754,10.132936,49.2519,0.849,0.785,5096.0,0.249,2023-02-14,2022
TOI-2537 b,413.319946452478,11.209,94.1022,0.77,0.77,4843.0,0.3715,2024-12-18,2024
TOI-257 b,42.603748326640044,7.016833999999999,18.38827,1.389,1.926,6075.0,0.1523,2020-01-23,2020
TOI-2580 Ab,200.30120481927779,17.37395,3.39775,1.37,1.64,6091.0,0.048,2025-03-12,2024
TOI-2583 Ab,79.484605087015,14.45961,4.5207265,1.215,1.477,5936.0,0.0571,2025-02-11,2022
TOI-2587 Ab,69.31057563587707,12.072092999999999,5.45664,1.15,1.726,5760.0,0.0635,2024-08-19,2022
TOI-2589 b,1112.78447121821,12.10572,61.6277,0.93,1.07,5579.0,0.3,2023-04-06,2023
TOI-260 b,9.414156626506056,1.6297886,13.47583,0.616,0.607,4026.0,0.0943,2025-07-29,2024
TOI-269 b,8.806894243641262,2.7697439,3.6977104,0.3917,0.398,3514.0,0.0345,2021-05-03,2021
TOI-270 b,1.4815930388219596,1.24700125,3.35992,0.4,0.38,3386.0,0.0306,2024-02-29,2019
TOI-270 c,6.19979919678717,2.3303511,5.66051,0.4,0.38,3386.0,0.0472,2024-02-29,2019
TOI-270 d,4.1967871485943915,2.1297099999999998,11.38014,0.4,0.38,3386.0,0.0733,2025-09-18,2019
TOI-2714 b,227.961847389559,13.719816,2.499387,1.07,1.25,5665.0,0.036,2024-09-13,2024
TOI-277 Bb,9.792503346720249,3.0950290799999998,3.994086,0.52,0.523,6668.0,0.0269,2024-07-30,2019
TOI-2796 b,139.8929049531464,17.82231,4.8084983,1.063,1.069,5764.0,0.04089,2022-10-31,2022
TOI-2803 Ab,309.9899598393585,18.113744,1.96229325,1.118,1.245,6280.0,0.03185,2024-11-02,2022
TOI-2818 b,225.73627844712257,15.277866999999999,4.039709,0.977,1.229,5721.0,0.0493,2022-10-31,2022
TOI-282 b,6.19979919678717,2.7013689999999997,22.891054,1.26,1.446,6120.0,0.1357,2025-11-10,2022
TOI-282 c,9.188420348058933,4.1305165,55.99712,1.26,1.446,6120.0,0.308,2025-11-10,2022
TOI-282 d,5.7864792503346925,3.1104975,84.2899,1.26,1.446,6120.0,0.411,2025-11-10,2022
TOI-283 b,6.5717871485944,2.3303511,17.61745,0.9,0.811,5245.0,0.123,2025-10-16,2025
TOI-2842 b,117.63721552878219,12.845513999999998,3.5514058,1.135,1.265,5910.0,0.0475,2022-10-31,2022
TOI-286 b,4.530622489959855,1.4201803,4.5117244,0.83,0.78,5132.0,0.0503,2024-09-10,2024
TOI-286 c,3.719879518072302,1.8797492999999998,39.361826,0.83,0.78,5132.0,0.213,2024-06-11,2024
TOI-2876 b,54.049531459170204,9.63974,6.2996431,0.939,0.873,5271.0,0.0654,2025-07-03,2025
TOI-2886 b,445.11378848728395,18.640567,1.60200105,1.229,1.241,6240.0,0.02871,2025-07-03,2025
TOI-2969 b,368.80856760374957,12.3299,1.8237146,0.71,0.7,4738.0,0.0261,2025-06-06,2025
TOI-2977 Ab,534.1365461847407,13.159365999999999,2.3505614,0.936,1.073,5691.0,0.03386,2025-02-11,2022
TOI-2981 b,638.1024096385564,13.394755,3.601501,1.03,1.08,5940.0,0.048,2024-09-13,2024
TOI-2986 b,96.65327978581024,9.292261,3.2783662,1.122,1.458,5906.0,0.04489,2025-07-03,2025
TOI-2989 b,953.81526104418,12.55408,3.122832,0.77,0.76,4672.0,0.0384,2025-06-06,2025
TOI-2992 b,1058.73493975904,13.753443,3.007812,1.21,1.545,6000.0,0.0434,2025-07-03,2025
TOI-3023 b,197.1218206157972,16.432394,3.9014971,1.12,1.668,5760.0,0.0505,2022-10-31,2022
TOI-3071 b,68.22958500669368,7.1603092,1.266918,1.29,1.31,6177.0,0.0249,2024-06-10,2024
TOI-3082 b,13.050831659973271,3.6621260169999994,1.926907,0.664,0.68,4249.0,0.027,2023-04-26,2019
TOI-3135 b,327.4765729585018,13.652562,3.7065585,1.044,0.985,5890.0,0.04756,2025-07-03,2025
TOI-3160 Ab,378.34672021419135,13.764652,3.971281,1.088,1.346,6190.0,0.0505,2025-07-03,2025
TOI-3235 Ab,211.4290495314599,11.399553,2.59261842,0.3939,0.3697,3388.0,0.02709,2024-07-30,2023
TOI-3261 b,30.299531459170115,3.8200271999999997,0.8831331,0.86,0.849,5068.0,0.01714,2024-07-08,2024
TOI-3288 Ab,670.8500669344065,11.209,1.4338635,0.643,0.672,4072.0,0.0215,2025-10-14,2025
TOI-329 b,40.40997322623842,4.7201099,5.70439,0.98,1.61,5560.0,0.0638,2024-06-26,2024
TOI-3321 Ab,176.13788487282525,15.580509999999999,3.6525145,1.041,1.549,5850.0,0.047,2025-02-11,2024
TOI-332 b,57.2289156626508,3.1945649999999994,0.777038,0.88,0.87,5251.0,0.0159,2023-08-24,2023
TOI-3331 Ab,721.7202141900962,12.980021999999998,2.0180231,1.016,0.952,5609.0,0.03144,2025-09-09,2022
TOI-333 b,20.093708165997395,4.2605409,3.7852503,1.2,1.1,6241.0,0.049,2025-12-08,2025
TOI-3362 b,1271.75368139224,13.4508,18.095367,1.445,1.83,6532.0,0.155,2023-09-08,2021
TOI-3364 b,530.9571619812601,12.229019,5.8768918,1.186,1.419,5706.0,0.0675,2025-04-14,2022
TOI-3464 b,397.423025435075,13.764652,3.6515568,1.363,1.56,6370.0,0.0515,2025-07-03,2025
TOI-3474 b,193.9424364123166,14.672581,3.8795105,1.121,1.256,6020.0,0.0502,2025-07-03,2025
TOI-3486 b,99.19678714859472,10.570087,2.21778105,0.837,0.788,4930.0,0.03138,2025-07-03,2025
TOI-3523 Ab,435.5756358768422,15.972825,2.30458952,1.131,1.448,6450.0,0.03559,2025-07-03,2025
TOI-3540 Ab,375.16733601071076,23.5389,3.119999,1.081,1.228,5810.0,0.04289,2025-09-09,2022
TOI-3568 b,26.38888888888898,5.301856999999999,4.417965,0.78,0.719,4969.0,0.0485,2024-09-09,2024
TOI-3593 b,565.9303882195468,11.029656,3.8212867,1.015,0.918,5550.0,0.0481,2025-07-03,2025
TOI-3629 b,82.6639892904956,8.29466,3.9365578,0.63,0.6,3870.0,0.043,2023-07-15,2022
TOI-3682 Ab,69.31057563587707,12.800677999999998,3.3462406,1.32,1.735,5703.0,0.048,2025-07-03,2025
TOI-3688 Ab,311.5796519410988,13.080903,3.246075,1.2,1.302,5950.0,0.0456,2024-11-02,2022
TOI-3714 Ab,219.0595716198133,11.141746,2.15484802,0.53,0.51,3660.0,0.0263,2025-02-11,2022
TOI-3757 b,85.33467202141931,11.99363,3.438753,0.64,0.62,3913.0,0.03845,2022-03-15,2022
TOI-375 b,236.86412315930468,10.771849,9.45469,1.44,2.9,5260.0,0.099,2025-10-01,2025
TOI-3785 b,14.955823293172742,5.1404474,4.6747373,0.52,0.5,3576.0,0.043,2023-04-11,2023
TOI-3807 b,330.6559571619824,22.418,2.8989727,1.181,1.468,5772.0,0.0421,2022-10-31,2022
TOI-3819 b,352.91164658634665,13.136947999999999,3.2443141,1.242,1.538,5859.0,0.04611,2022-12-09,2022
TOI-3856 b,171.6867469879524,13.596517,2.04360352,1.096,1.055,5622.0,0.0325,2025-07-03,2025
TOI-3877 b,99.83266398929084,11.679778,4.123596,1.16,1.445,5731.0,0.0529,2025-07-03,2025
TOI-3884 b,16.501004016064314,6.3095460999999995,4.5445697,0.2813,0.3043,3269.0,0.0354,2025-06-10,2022
TOI-3912 b,129.08299866131236,14.280266,3.4936264,1.088,1.392,5725.0,0.0463,2022-10-31,2022
TOI-396 Ab,3.55137215528783,1.995202,3.585287,1.145,1.31,6201.0,0.0489,2025-11-25,2019
TOI-396 Ac,0.890227576974568,1.9795094,5.973865,1.145,1.31,6201.0,0.0687,2025-11-25,2019
TOI-396 Ad,7.090026773761738,2.01762,11.230511,1.145,1.31,6201.0,0.1046,2025-11-25,2019
TOI-3976 Ab,55.639223560910494,12.273855,6.607662,1.254,1.501,5975.0,0.0743,2025-09-09,2022
TOI-3980 b,187.58366800535538,14.45961,3.6089254,1.24,1.626,5840.0,0.0494,2025-07-03,2025
TOI-3984 Ab,43.875502008032285,7.95839,4.353326,0.49,0.47,3476.0,0.041,2025-05-06,2023
TOI-4010 b,11.127844712182101,3.0197045999999994,1.348335,0.88,0.83,5104.0,0.0229,2023-06-13,2023
TOI-4010 c,20.316265060241033,5.9295610000000005,5.414654,0.88,0.83,5104.0,0.058,2023-06-13,2023
TOI-4010 d,38.16214859437764,6.1795217,14.70886,0.88,0.83,5104.0,0.113,2023-06-13,2023
TOI-402 Ab,6.52091700133871,1.7699011,4.7559804,0.851,0.839,5131.0,0.05245,2025-02-11,2019
TOI-402 Ac,6.791164658634561,2.52606024,17.180546,0.851,0.839,5131.0,0.1235,2025-02-11,2019
TOI-406 b,2.0793172690763124,1.3204202,3.307441,0.48,0.39,3324.0,0.0322,2024-09-18,2024
TOI-406 c,6.5717871485944,2.0803903999999998,13.175682,0.48,0.39,3324.0,0.0809,2024-09-18,2024
TOI-4087 b,232.0950468540838,13.047275999999998,3.1774835,1.178,1.112,6060.0,0.04469,2022-10-31,2022
TOI-4145 Ab,136.7135207496658,13.305083,4.0664428,0.905,0.859,5281.0,0.04823,2025-02-11,2022
TOI-4184 b,2098.3935742971958,2.4301112,4.9019804,0.24,0.252,3225.0,0.0336,2023-06-28,2023
TOI-4201 b,823.1425702811273,12.699797,3.5819111,0.63,0.62,3920.0,0.03939,2024-06-19,2023
TOI-4214 b,165.3279785809912,10.682177,3.4913885,1.382,1.434,6370.0,0.05018,2025-07-03,2025
TOI-421 Ab,6.708500669344066,2.6397194999999996,5.197576,0.852,0.871,5325.0,0.0554,2025-08-28,2020
TOI-421 Ac,14.116465863453865,5.0900069,16.067541,0.852,0.871,5325.0,0.117,2024-07-30,2020
TOI-431 b,3.0712851405622597,1.2800677999999999,0.490047,0.78,0.731,4850.0,0.0113,2021-08-06,2021
TOI-431 d,9.887884872824666,3.2898414999999996,12.46103,0.78,0.731,4850.0,0.098,2021-08-06,2021
TOI-4377 b,304.2670682730934,15.132150000000001,4.378081,1.36,3.52,4974.0,0.0579,2023-12-08,2023
TOI-4379 b,353.86546184739075,16.690201000000002,3.25352,1.372,1.976,6020.0,0.0477,2024-08-01,2024
TOI-4438 b,5.404953145917021,2.5197832,7.44628,0.368,0.372,3422.0,0.0534,2024-08-26,2024
TOI-4463 Ab,252.44310575635964,13.260247,2.8807198,1.056,1.062,5640.0,0.04035,2025-03-21,2022
TOI-4465 b,1872.6572958500733,14.01125,101.94054,0.93,1.014,5545.0,0.416,2025-06-26,2024
TOI-4479 b,8.298192771084366,2.8201843999999996,1.1589,0.452,0.451,3400.0,0.0164,2022-06-23,2022
TOI-4481 b,1.90763052208836,1.33095666,0.9263237,0.413,0.4144,3600.0,0.01406,2023-01-18,2023
TOI-4487 Ab,397.423025435075,14.605326999999999,3.9540709,1.378,1.634,6206.0,0.05448,2025-07-03,2021
TOI-4504 b,9.856091030789859,2.6901599999999997,2.42614,0.89,0.92,5315.0,0.0339,2025-08-12,2024
TOI-4504 c,1197.674029451142,10.760639999999999,82.97213,0.89,0.92,5315.0,0.3546,2025-08-12,2024
TOI-4507 b,29.88621151271764,8.2195597,104.6159518,1.15,1.039,6235.0,0.449,2025-10-02,2025
TOI-4515 b,635.87684069612,12.21781,15.266446,0.95,0.86,5433.0,0.118,2023-11-21,2023
TOI-4551 b,473.72824631860937,11.88154,9.95581,1.31,3.55,4896.0,0.0994,2023-11-09,2023
TOI-4559 b,2.7024765729585103,1.4150241599999998,3.965991,0.392,0.374,3558.0,0.036,2023-11-03,2023
TOI-4562 b,1046.0174029451173,12.016048,225.11757,1.218,1.126,6096.0,0.771,2022-08-24,2022
TOI-4603 b,4098.226238286494,11.679778,7.24599,1.752,2.722,6189.0,0.0888,2023-03-22,2023
TOI-4633 Ac,47.81793842034823,3.1945649999999994,271.9445,1.1,1.05,5800.0,0.847,2024-07-28,2024
TOI-4641 b,1230.4216867469922,8.18257,22.09341,1.42,1.72,6500.0,0.173,2023-12-08,2023
TOI-4666 b,222.55689424364198,12.44199,2.9089181,0.576,0.585,3793.0,0.0333,2025-10-14,2025
TOI-469 b,5.913654618473915,3.4803945,13.63083,0.91,1.0,5283.0,0.107,2024-05-26,2019
TOI-469 c,4.514725568942453,1.580469,3.53796,0.91,1.0,5283.0,0.0436,2023-12-08,2019
TOI-469 d,5.08701472556896,1.3697398,6.42975,0.91,1.0,5283.0,0.0649,2023-08-28,2023
TOI-4734 b,61.68005354752364,10.917565999999999,6.235633,1.391,1.857,6070.0,0.074,2025-07-03,2025
TOI-4773 b,1688.2530120481983,15.244240000000001,1.7452851,1.452,1.55,6740.0,0.0322,2025-09-03,2025
TOI-4791 b,734.4377510040187,12.44199,4.28088,1.242,1.409,6058.0,0.0555,2022-10-31,2022
TOI-4794 b,308.4002677376182,14.358728999999999,3.5658116,1.25,1.451,6390.0,0.0492,2025-07-03,2024
TOI-481 b,486.4457831325318,11.09691,10.33111,1.14,1.66,5735.0,0.097,2024-07-29,2020
TOI-4860 b,213.01874163320022,8.474003999999999,1.5227596,0.335,0.348,3390.0,0.0185,2024-03-19,2021
TOI-4914 b,227.00803212851483,12.870173800000002,10.60057,1.03,1.0,5805.0,0.098,2024-09-13,2024
TOI-4940 b,89.02275769745681,6.602100999999999,25.867811,1.012,1.163,5504.0,0.165,2025-12-09,2024
TOI-4961 b,572.289156626508,12.341109,7.479182,0.912,0.912,5380.0,0.0726,2025-07-03,2025
TOI-4994 b,89.02275769745681,8.541258,21.491984,1.0,1.055,5640.0,0.1515,2024-12-05,2024
TOI-5005 b,32.71586345381537,6.2501384,6.3085044,0.97,0.93,5749.0,0.06614,2024-09-27,2024
TOI-5007 b,216.19812583668082,11.209,2.543372,0.632,0.656,3793.0,0.03,2025-10-14,2025
TOI-500 b,1.5896921017403,1.1601314999999999,0.5481579,0.88,0.75,4621.0,0.0128,2022-01-31,2022
TOI-5108 b,32.11178045515406,6.602100999999999,6.753581,1.1,1.29,5808.0,0.073,2025-01-08,2025
TOI-5110 b,922.021419009374,11.982420999999999,30.158577,1.46,2.36,6154.0,0.2157,2024-12-26,2024
TOI-5153 b,1036.4792503346755,11.88154,20.33003,1.24,1.4,6300.0,0.158,2022-07-11,2022
TOI-5181 Ab,330.6559571619824,13.349919,3.8922295,1.25,1.53,6060.0,0.0522,2025-07-03,2025
TOI-519 b,166.9176706827315,11.870330999999998,1.2652328,0.369,0.373,3350.0,0.01648,2023-07-15,2021
TOI-5205 b,343.3734939759048,10.53646,1.630731,0.392,0.394,3439.0,0.0195,2025-02-12,2022
TOI-5210 b,82.02811244979948,10.727013,4.5661061,1.105,1.209,5723.0,0.0557,2025-07-03,2025
TOI-5218 b,254.03279785809994,9.852711,4.291452,0.739,0.708,4230.0,0.0469,2024-08-28,2024
TOI-521 b,5.309571619812602,1.9795094,1.54285047,0.42,0.421,3544.0,0.0195,2025-09-19,2025
TOI-5261 b,3653.1124497992096,11.601315,4.1509768,1.037,1.021,5790.0,0.05134,2025-09-03,2025
TOI-5292 Ab,413.319946452478,12.66617,2.02191,0.596,0.611,3919.0,0.028,2025-10-14,2025
TOI-5293 Ab,171.6867469879524,11.88154,2.930289,0.54,0.52,3586.0,0.034,2025-05-06,2023
TOI-5300 b,190.763052208836,9.86392,2.262196,0.67,0.65,4610.0,0.0295,2025-06-06,2025
TOI-530 b,127.175368139224,9.303469999999999,6.387597,0.53,0.54,3659.0,0.052,2021-10-11,2021
TOI-5322 b,184.0863453815267,16.611738,5.4233207,0.998,1.462,5692.0,0.0604,2025-07-03,2025
TOI-532 b,61.52108433734961,5.8197128,2.32666508,0.639,0.612,3957.0,0.0296,2021-07-30,2021
TOI-5340 b,270.247657295851,15.076105,4.9394392,1.842,1.35,5990.0,0.0628,2025-07-03,2025
TOI-5344 b,133.53413654618518,9.75183,3.792622,0.612,0.588,3747.0,0.04,2023-11-01,2023
TOI-5350 b,2095.2141900937154,12.44199,7.581367,1.167,1.263,6220.0,0.0796,2025-09-03,2025
TOI-5386 Ab,155.15394912985326,14.706208,3.62156552,1.165,1.245,6094.0,0.04856,2025-07-03,2021
TOI-544 b,2.890060240963866,2.0198617999999997,1.548352,0.85,0.66,4369.0,0.0225,2023-10-25,2022
TOI-5527 Ab,7.032797858099087,2.5399594,346.16,1.06,0.926,5862.0,0.941,2025-12-02,2021
TOI-5542 b,419.6787148594392,11.309880999999999,75.12375,0.89,1.058,5700.0,0.332,2022-09-30,2022
TOI-554 b,8.711512717536843,2.6195432999999997,7.0491423,1.24,1.43,6338.0,0.076,2024-05-27,2019
TOI-554 c,4.29216867469881,1.502006,3.04405,1.24,1.43,6338.0,0.0443,2024-05-27,2022
TOI-5573 b,111.27844712182099,9.75183,8.79758977,0.619,0.594,3790.0,0.0712,2025-05-15,2025
TOI-558 b,1147.7576974564965,12.172974,14.574071,1.349,1.496,6466.0,0.1291,2025-09-25,2021
TOI-5592 b,285.8266398929059,17.14977,2.6085846,1.194,1.393,6240.0,0.03935,2025-07-03,2025
TOI-559 b,1910.8099062918404,12.229019,6.9839095,1.026,1.233,5925.0,0.0723,2021-02-05,2021
TOI-5616 b,254.98661311914412,10.771849,2.002849,0.666,0.646,3996.0,0.0272,2024-08-28,2024
TOI-561 b,2.0220883534136616,1.39697767,0.4465697,0.805,0.832,5326.0,0.01064,2024-10-25,2020
TOI-561 c,5.932730923694799,2.8650203999999997,10.778838,0.805,0.832,5326.0,0.0889,2024-10-25,2020
TOI-561 d,13.334337349397636,2.6150597,25.71268,0.805,0.832,5326.0,0.1587,2024-10-25,2020
TOI-561 e,12.39959839357434,2.5169809499999998,77.144,0.805,0.832,5326.0,0.33,2024-10-25,2020
TOI-561 f,19.108099062918406,2.3202629999999997,433.0,0.805,0.832,5326.0,1.034,2024-10-25,2020
TOI-5634 Ab,183.13253012048253,10.345907,2.2035373,0.556,0.54,3896.0,0.0272,2025-05-06,2024
TOI-564 Ab,465.1439089692118,11.43318,1.651144,1.1,1.04,5666.0,0.02734,2024-07-28,2019
TOI-5678 b,20.03012048192778,4.909542,47.73022,0.905,0.938,5485.0,0.249,2023-06-09,2023
TOI-5688 Ab,123.9959839357434,10.301071,2.94815527,0.6,0.57,3713.0,0.03379,2024-09-04,2024
TOI-5713 b,4.29216867469881,1.7699011,10.441989,0.2653,0.2985,3225.0,0.06,2025-02-12,2024
TOI-5720 b,1.319444444444449,1.0895148,1.4344555,0.38,0.38,3325.0,0.0183,2024-05-13,2024
TOI-5786 b,73.12583668005381,8.6398972,12.779107,1.23,1.36,6235.0,0.114,2025-01-08,2025
TOI-5789 Ac,5.08701472556896,2.8605367999999998,12.927748,0.821,0.833,5185.0,0.1009,2025-10-15,2025
TOI-5795 b,23.667336010709587,5.620192599999999,6.1406325,0.901,1.082,5715.0,0.064,2025-08-01,2025
TOI-5799 b,4.101405622489974,1.7295486999999998,4.164507,0.325,0.321,3452.0,0.0348,2025-09-08,2023
TOI-5799 c,4.1967871485943915,1.7598129999999998,14.010449,0.325,0.321,3452.0,0.0782,2025-09-08,2025
TOI-5800 b,10.809906291834041,2.6800719,2.627882,0.79,0.8,4830.0,0.0345,2025-05-16,2025
TOI-5817 b,10.301204819277142,3.0802332,15.61031,0.97,1.427,5770.0,0.1223,2025-05-16,2025
TOI-6002 b,3.81526104417672,1.6499648,10.904821,0.24,0.21,3241.0,0.05722,2024-09-29,2024
TOI-6008 b,1.11278447121821,1.0301071,0.8574347,0.23,0.24,3075.0,0.0108,2024-05-13,2024
TOI-6016 b,371.98795180723016,13.67498,4.023687,1.04,1.7,6004.0,0.055,2024-12-13,2024
TOI-6029 b,519.829317269078,14.392356,5.7987,1.548,2.338,6223.0,0.0731,2024-08-01,2024
TOI-6034 Bb,253.7148594377519,11.915166999999999,2.576184,0.514,0.489,3635.0,0.02949,2024-08-28,2023
TOI-6038 Ab,78.53078982597081,6.4104271,5.8267311,1.29,1.65,6110.0,0.069,2025-03-27,2025
TOI-603 b,47.531793842034965,7.9303675,16.17989,1.072,1.629,5900.75,0.1281,2024-06-26,2024
TOI-6041 b,10.81308567603752,4.5497331,26.04945,0.89,0.88,5417.0,0.1651,2025-12-02,2025
TOI-6054 b,12.39959839357434,2.6498076,7.501437,1.107,1.662,6047.0,0.0763,2025-01-17,2025
TOI-6054 c,9.188420348058933,2.80225,12.56364,1.107,1.662,6047.0,0.1,2025-01-17,2025
TOI-6086 b,1.6818942436412374,1.1803077,1.3888725,0.25,0.26,3200.0,0.01541,2024-05-13,2024
TOI-6130 b,333.835341365463,14.34752,2.392679,1.09,1.27,5816.0,0.036,2024-12-13,2024
TOI-6158 b,135.1238286479255,10.42437,3.0446899,0.503,0.476,3467.0,0.03275,2025-10-15,2025
TOI-620 b,15.42001338688091,3.7594985999999997,5.0988179,0.577,0.55,3708.0,0.04825,2022-04-08,2022
TOI-6223 b,25.59404283801883,5.0698307,3.855219,0.582,0.576,3895.0,0.04018,2025-09-09,2025
TOI-6255 b,1.4402610441767119,1.07897834,0.23818244,0.353,0.37,3421.0,0.0054,2024-08-01,2024
TOI-628 b,2012.5502008032197,11.88154,3.4095675,1.311,1.345,6250.0,0.0486,2021-01-07,2021
TOI-6303 b,2492.6372155287904,11.54527,9.485236,0.64,0.61,3977.0,0.076,2024-11-14,2024
TOI-6324 b,1.1700133868808609,1.0590263199999999,0.279221,0.269,0.293,3327.0,0.00432,2025-02-25,2024
TOI-6330 b,3179.3842034806,10.872729999999999,6.8500246,0.53,0.49,3539.0,0.0576,2025-08-04,2024
TOI-6383 Ab,330.6559571619824,11.2897048,1.79058695,0.458,0.457,3444.0,0.02292,2025-08-12,2024
