planet_name,planetary_mass,planetary_radius,orbital_period,star_mass,star_radius,star_teff,semi_major_axis,planet_updated,planet_discovered
TOI-1011 b,4.040997322623843,1.4504445999999998,2.470498,0.91,0.92,5475.0,0.0346,2024-10-04,2024
TOI-1052 Ab,16.91432396251679,2.869504,9.139703,1.204,1.264,6146.0,0.09103,2025-03-12,2023
TOI-1062 b,10.17402945113792,2.26399382,4.11412,0.94,0.84,5328.0,0.052,2025-03-03,2021
TOI-1064 b,13.512382864792551,2.5870372,6.443868,0.748,0.726,4734.0,0.06152,2022-01-12,2022
TOI-1064 c,2.5117135207496744,2.65104059,12.226574,0.748,0.726,4734.0,0.09429,2022-01-12,2022
TOI-1075 b,9.954651941097758,1.79097402,0.6047328,0.6,0.58,3921.0,0.0118,2022-10-27,2022
TOI-1107 b,1065.093708166001,14.5717,4.0782387,1.35,1.81,6311.0,0.0561,2022-05-27,2022
TOI-1117 b,8.90227576974568,2.4603755,2.22816,0.97,1.05,5635.0,0.033,2025-06-09,2024
TOI-1130 b,19.80756358768414,3.6597385,4.074554,0.684,0.687,4250.0,0.0453,2024-09-06,2020
TOI-1130 c,336.0609103078994,13.002439999999998,8.3501898,0.684,0.687,4250.0,0.0731,2024-07-09,2020
TOI-1135 b,20.4370816599733,8.9672,8.027729,1.125,1.16,6122.0,0.082,2024-02-28,2024
TOI-1136 b,3.49732262382866,1.9055300000000002,4.17278,1.022,0.968,5770.0,0.05106,2023-12-11,2022
TOI-1136 c,6.320615796519432,2.87903165,6.2574,1.022,0.968,5770.0,0.0669,2023-12-11,2022
TOI-1136 d,8.352242302543537,4.6270752,12.5199,1.022,0.968,5770.0,0.1062,2023-12-11,2022
TOI-1136 e,6.072623828647946,2.63904696,18.802,1.022,0.968,5770.0,0.139,2023-12-11,2022
TOI-1136 f,8.221887550200831,3.8805557999999998,26.3213,1.022,0.968,5770.0,0.174,2023-12-11,2022
TOI-1136 g,12.08165997322628,2.5298713,39.544,1.022,0.968,5770.0,0.229,2023-12-12,2022
TOI-1173 Ab,26.102744310575726,8.104106999999999,7.06387,0.91,0.93,5350.0,0.07,2024-06-26,2024
TOI-1174 b,32.11178045515406,2.3594945,8.953458,0.85,0.76,5077.0,0.08,2025-01-29,2024
TOI-1184 b,6.803882195448484,2.409935,5.748432,0.71,0.69,4534.0,0.056,2024-05-30,2024
TOI-1194 b,144.97991967871536,8.597303,2.310644,1.0,0.963,5340.0,0.0343,2023-10-20,2023
TOI-1199 b,75.98728246318633,10.514042,3.671463,1.23,1.45,5710.0,0.04988,2024-02-13,2024
TOI-1201 Ab,6.282463186077665,2.41497905,2.4919863,0.512,0.508,3476.0,0.0287,2025-02-11,2021
TOI-1203 Ab,3.510040160642582,1.5199403999999999,4.1572888,0.886,1.179,5737.0,0.04869,2025-09-15,2025
TOI-1203 Ad,7.392068273092395,2.91803897,25.502672,0.886,1.179,5737.0,0.1632,2025-09-15,2025
TOI-1221 b,1112.78447121821,2.9098564,91.68278,1.03,0.993,5700.0,0.39,2022-09-29,2022
TOI-122 b,8.806894243641262,2.7204243,5.0780375,0.312,0.334,3403.0,0.0392,2025-12-08,2020
TOI-1231 b,15.42001338688091,3.6496504,24.245586,0.485,0.476,3562.0,0.1288,2021-05-19,2021
TOI-1235 b,5.913654618473915,1.6940161699999998,3.444717,0.63,0.619,3997.0,0.03826,2020-04-15,2020
TOI-1238 b,3.7612115127175496,1.2094511,0.764597,0.59,0.58,4089.0,0.0139,2021-11-30,2021
TOI-1238 c,8.32362784471221,2.1095338,3.294736,0.59,0.58,4089.0,0.037,2021-11-30,2021
TOI-1244 b,6.613119143239648,2.2698225,6.4003,0.73,0.72,4600.0,0.061,2024-06-03,2024
TOI-1246 Ab,8.10742971887553,3.0096165,4.30744,0.87,0.86,5141.0,0.049,2025-03-12,2022
TOI-1246 Ac,8.806894243641262,2.5096950999999996,5.904144,0.87,0.86,5141.0,0.061,2025-03-12,2022
TOI-1246 Ad,5.309571619812602,3.5095378999999998,18.6559,0.87,0.86,5141.0,0.131,2025-03-12,2022
TOI-1246 Ae,14.815930388219597,3.7796748,37.9216,0.87,0.86,5141.0,0.211,2025-03-12,2022
TOI-1248 Ab,27.406291834002772,6.803863,4.3601561,0.89,0.87,5227.0,0.051,2025-03-21,2024
TOI-1249 b,11.890896921017445,3.2494891,13.079151,0.95,1.0,5453.0,0.109,2024-06-04,2024
TOI-1259 Ab,131.94444444444488,11.601315,3.4779792,0.744,0.711,4775.0,0.0408,2025-07-11,2021
TOI-125 b,9.506358768406994,2.7260288,4.65382,0.859,0.848,5320.0,0.05186,2020-03-04,2019
TOI-125 c,6.632195448460531,2.75898326,9.15059,0.859,0.848,5320.0,0.0814,2020-03-04,2019
TOI-125 d,13.607764390896968,2.9300326,19.98,0.859,0.848,5320.0,0.137,2020-03-04,2019
TOI-1260 b,8.562081659973256,2.409935,3.127463,0.66,0.65,4227.0,0.0367,2022-12-09,2021
TOI-1260 c,13.19444444444449,2.7596558,7.493134,0.66,0.65,4227.0,0.0657,2022-12-09,2021
TOI-1260 d,11.843206157965234,3.1194647,16.608,0.66,0.65,4227.0,0.1116,2022-12-09,2022
TOI-1266 b,4.390729585006708,2.6195432999999997,10.894841,0.45,0.42,3600.0,0.0728,2024-10-29,2020
TOI-1266 c,2.96954484605088,2.1297099999999998,18.801611,0.45,0.42,3600.0,0.1047,2024-10-29,2020
